i,doc_idx,start_idx,token,tag
0,7.00,0,우리가,O
0,7.00,4,RAMP를,O
0,7.00,10,지나,O
0,7.00,13,진행하고,O
0,7.00,18,있을,O
0,7.00,21,"때,",O
0,7.00,24,기장이,O
0,7.00,28,나에게,O
0,7.00,32,CLEARANCE를,O
0,7.00,43,받았는,O
0,7.00,47,지를,O
0,7.00,50,물었다.,O
0,7.00,55,나는,O
0,7.00,58,'아니오',O
0,7.00,64,하고,O
0,7.00,67,"대답하고,",O
0,7.00,73,기장에게,O
0,7.00,78,창,O
0,7.00,80,밖을,O
0,7.00,83,잘,O
0,7.00,85,보고,O
0,7.00,88,내가,O
0,7.00,91,연료트럭을,O
0,7.00,97,안전하게,O
0,7.00,102,지나가고,O
0,7.00,107,있는지,O
0,7.00,111,말해,O
0,7.00,114,달라고,O
0,7.00,118,부탁했다.,O
0,7.00,124,그는,O
0,7.00,127,계속해서,O
0,7.00,132,이야기를,O
0,7.00,137,했다.,O
0,7.00,141,그래서,O
0,7.00,145,나는,O
0,7.00,148,다시,O
0,7.00,151,왼쪽,O
0,7.00,154,WING의,O
0,7.00,160,안전통과,O
0,7.00,165,여부를,O
0,7.00,169,확인해,O
0,7.00,173,달라고,O
0,7.00,177,부탁해야,O
0,7.00,182,했다.,O
0,7.00,186,우리가,O
0,7.00,190,교차점에,O
0,7.00,195,다달았을,O
0,7.00,200,때,O
0,7.00,202,나는,O
0,7.00,205,기장에게,O
0,7.00,210,어느,O
0,7.00,213,쪽으로,O
0,7.00,217,선회할지를,O
0,7.00,223,"묻고,",O
0,7.00,227,공항,O
0,7.00,230,DIAGRAM을,O
0,7.00,239,볼,O
0,7.00,241,수,O
0,7.00,243,있도록,O
0,7.00,247,APPROACH,O
0,7.00,256,PLATE를,O
0,7.00,263,그에게,O
0,7.00,267,주었다.,O
0,7.00,272,주변은,O
0,7.00,276,어두었으며,O
0,7.00,282,23번,O
0,7.00,286,활주로에,O
0,7.00,291,평행한,O
0,7.00,295,유도로는,O
0,7.00,300,파란색,O
0,7.00,304,등화,O
0,7.00,307,표시가,O
0,7.00,311,되어,O
0,7.00,314,있지,O
0,7.00,317,않았다.,O
0,7.00,322,그때,O
0,7.00,325,기장은,O
0,7.00,329,나에게,O
0,7.00,333,『DIAGRAM을,O
0,7.00,343,어떻게,O
0,7.00,347,보라고,O
0,7.00,351,"배웠어?』,",O
0,7.00,358,『네가,O
0,7.00,362,뭘,O
0,7.00,364,할,O
0,7.00,366,줄,O
0,7.00,368,"알고,",O
0,7.00,372,어디로,O
0,7.00,376,가야,O
0,7.00,379,되는지,O
0,7.00,383,어떻게,O
0,7.00,387,알겠어!』,O
0,7.00,393,라고,O
0,7.00,396,아주,B-causal factor
0,7.00,399,거친,I-causal factor
0,7.00,402,말을,I-causal factor
0,7.00,405,"하며,",I-causal factor
0,7.00,409,내가,B-causal factor
0,7.00,412,어린,I-causal factor
0,7.00,415,애와,I-causal factor
0,7.00,418,같이,I-causal factor
0,7.00,421,군다고하면서,I-causal factor
0,7.00,428,내,I-causal factor
0,7.00,430,행위에,I-causal factor
0,7.00,434,대해서,I-causal factor
0,7.00,438,불쾌해,I-causal factor
0,7.00,442,했다.,O
0,7.00,446,나도,O
0,7.00,449,역시,O
0,7.00,452,그의,B-causal factor
0,7.00,455,행위에,I-causal factor
0,7.00,459,대해서,I-causal factor
0,7.00,463,기분,I-causal factor
0,7.00,466,나쁘다고,I-causal factor
0,7.00,471,응대했다.,I-causal factor
0,7.00,477,그는,B-causal factor
0,7.00,480,계속해서,I-causal factor
0,7.00,485,『멍청한,I-causal factor
0,7.00,490,놈,I-causal factor
0,7.00,492,....』하고,I-causal factor
0,7.00,500,말했다.,I-causal factor
0,7.00,505,나는,O
0,7.00,508,『당신,O
0,7.00,512,나한테,O
0,7.00,516,뭐라고,O
0,7.00,520,말했어』하고,O
0,7.00,527,따졌다.,O
0,7.00,532,그는,O
0,7.00,535,『멍청한,O
0,7.00,540,놈,O
0,7.00,542,....』하고,O
0,7.00,550,반복했다.,O
0,7.00,556,나는,O
0,7.00,559,『...더러운,O
0,7.00,567,놈,O
0,7.00,569,...』하고,O
0,7.00,576,말했다.,O
