idx,근거,사고명,본문,원인 키워드,원인,발생지표,요약,재발방지대책,조치결과,DATA,비고
7.00,GYRO 2호,"비행 중
조종실에서의 싸움","우리가 RAMP를 지나 진행하고 있을 때, 기장이 나에게 CLEARANCE를 받았는 지를 물었다. 나는 '아니오' 하고 대답하고, 기장에게 창 밖을 잘 보고 내가 연료트럭을 안전하게 지나가고 있는지 말해 달라고 부탁했다. 그는 계속해서 이야기를 했다. 그래서 나는 다시 왼쪽 WING의 안전통과 여부를 확인해 달라고 부탁해야 했다. 우리가 교차점에 다달았을 때 나는 기장에게 어느 쪽으로 선회할지를 묻고, 공항 DIAGRAM을 볼 수 있도록 APPROACH PLATE를 그에게 주었다. 주변은 어두었으며 23번 활주로에 평행한 유도로는 파란색 등화 표시가 되어 있지 않았다. 
그때 기장은 나에게 『DIAGRAM을 어떻게 보라고 배웠어?』, 『네가 뭘 할 줄 알고, 어디로 가야 되는지 어떻게 알겠어!』 라고 아주 거친 말을 하며, 내가 어린 애와 같이 군다고하면서 내 행위에 대해서 불쾌해 했다. 나도 역시 그의 행위에 대해서 기분 나쁘다고 응대했다. 그는 계속해서 『멍청한 놈 ....』하고 말했다. 나는 『당신 나한테 뭐라고 말했어』하고 따졌다. 그는 『멍청한 놈 ....』하고 반복했다. 나는 『...더러운 놈 ...』하고 말했다. 그러자 그는 『뭐!』하고 물렀고, 나는 『들었을 텐데, ...더러운 놈..이라 말했다』하고 대답했다. 그는 『그래, 너는 이제 끝장이야』라고 소리쳤다. 나는 『나를 해고한 거냐?』하고 말했다. 그는 『그게 네가 원하는 거냐?』하고 되물었다. 나는 『아니, 내가 당신한테 묻고 있어. 나 해고한 거야?』하고 말했다. 그는 『그래』하고 말했다. 나는 즉시 브레이크를 밟고 우측 엔진을 껐다. 내가 좌측 엔진도 끄려고 할 때, 그는 동력조절기에서 내 손을 밀쳐내고 뭐하는 거냐고 소리쳤다. 나는 그에게 항공기를 멈추고 내리려고 한다고 말했다. 나는 SEAT BELT와 SHOULDER HARNESS를 풀고 일어나기 시작했다. 그는 나를 뒤로 밀쳐 의자에 앉히고 아무데도 가지 못한다고 말했다. 그러면서 그는 오른쪽 주먹과 팔뚝으로 내 턱을 치고 부조종사 측면 유리창 쪽으로 나를 밀어 꼼짝 못하게 했다. 나는 그를 좀 진정시키려 했으며, 자리에 앉으라고 말했다. 그리고 내가 기내에 있는 한 더 이상 그가 항공기를 조종할 수 없으므로 나를 내리게 해 달라고 했다. 그는 『안돼, 너는 이 일을 끝내야 돼!』하고 말했다. 나는 그가 나를 해고했을 때 내 일은 이미 끝난 것이라고 말했다. 
그는 또 다시 나를 때렸다. 그래서 나는 오른 손으로 그에게 펀치를 날렸다. 나는 휘두른 힘으로 인해 의자 사이로 넘어졌다. 그러자 그는 내 머리를 팔로 감싸 꼼짝 못하게 하고 내 숨통을 조르기 시작했다. 나는 빠져나오려고 발버둥쳤으나 그러질 못했다. 나는 그때 손을 뻗어 그의 CONTROL YOKE에서 마이크를 뽑아 'MAYDAY, MAYDAY, MAYDAY. ABC 유도로에서 비상사태 발생. 와서도 와주기 바람'하고 방송했다. 나는 순간 그의 조임이 느슨해지는 것을 느꼈으며, 그 틈을 타서 빠져 나와 몇번 더 방송을 했다. 그후 그는 내 물건을 챙겨 나가라고 말했는데, 그것으로 보아 그는 누군가가 항공기로 올 것이라고 생각한 모양이다. 나는 내 물건을 챙겨 내렸다. 나는 항공기 뒤에 섰으며 그가 문을 닫고 곧바로 우측 엔진을 시동 거는 것을 보았다. ","""아주 거친 말을 하며,"", ""내가 어린 애와 같이 군다고하면서 내 행위에 대해서 불쾌해"", ""그의 행위에 대해서 기분 나쁘다고 응대했다."", ""그는 계속해서 『멍청한 놈 ....』하고 말했다.""",,,,,,,
907.00,GYRO 161,,"GOMUP 지점을 지나 위치보고와 SELCAL을 정상적으로 수신한 후에 Shanwick Radio는 61N에 도착하면 Iceland Radio 주파수인 126.55로 교신을 하도록 지시해왔다. Shanwick은 6220N에서 위치보고가 가능한지를 문의해왔으나 불가능함을 통보했다. 61N에 도착하여 Iceland Radio와 교신을 시도하니 6220N에서 위치보고를 지시하면서 우리 항공기가 경로를 이탈한 것으로 radar에 나타났다고 알려왔다. FMC를 확인해보니 6220N 지점이 비행계획에서 누락되어 있었다. 자료를 다시 입력하고 확인해보니 항공기는 이미 해당 지점을 지나쳐 경로를 우측으로 약 30NM 벗어나 있었다. Iceland Radio가 항공기 위X를 확인해 달라고 했다. 나는 우리 항공기가 다음 waypoint로 향하고 있으며 나머지 waypoint 들은 올바르게 입력되어 있다고 알려줬다. Iceland Radio는 발생내용을 보고하겠다고 알려왔다. 이 번 사례를 통해 비행시작단계 뿐만 아니라, 비행 중에도 지속적으로 비행경로와 waypoint를 확인해야하는 중요성을 배우게 되었다. 또 6220N 입력이 누락된 이유는 확인할 수 없다. 그러나 , MNPS(Minimum Navigation PerformanceSpecifications) 공역에서 비행하는 경우에 '잘 훈련된' 조종사는 비행경로 및 다음 waypoint 까지의 잔여거리를 확인하도록 권고하고 있다(북대서양 MNPSA 운영매뉴얼 제 9장). 항공사 표준운영절차에 이러한 내용을 반영한다면 이번 경우와 같은 에러를 식별하는데 도움이될 것이다. ","""6220N 지점이 비행계획에서 누락되어 있었다"", ""항공기는 이미 해당 지점을 지나쳐 경로를 우측으로 약 30NM 벗어나 있었다"", ""6220N 입력이 누락된 이유는 확인할 수 없다""",,,,,,,
893.00,GYRO 164,,"두 활주로의 일부구간이 중첩되는 교차활주로의 경우가 아니라면, 활주로를 이륙한 조종사가 유지할 수 있는 방향은활주로 방향 뿐이다. 그러나 , 아래의 사례에서는 관제탑 관제사가 기술한 바와 같이, 교차활주로 또는 교차유도로인경우 항공기가 선회할 수 있는 방향이 두 방향으로 늘어나고 둘 중 하나는 잘못된 방향이므로 상황이 복잡해진다. 지상관제사가 내 관제석에 Strip(비행기록쪽지)를 놓아주었다. Cherokee 한 대가 RWY10 방향에서 남동쪽으로 출 항한다는 내용이었다. 당시 RWY28 방향으로 접근 중인 항공기가 있었기 때문에 Cherokee를 수 분간 대기시켜야하는 상황이었다. 그래서 Cherokee에게 RWY17L Alpha지점에서 중간이륙이 가능한지 물었다. Cherokee는 가능하다고 하며 readback을 했고, 나는 RWY17L Alpha지점에서 이륙 및 남동쪽으로 출항을 허가했다. 나의 다음 관제사항은 Cessna에게 '활주로 전체를 사용'하는 것이었다. 나는 Cessna에게 'Cessna Runway 17L full length, line up and wait, traffic departing down-field.' 라고 지시하였고 Cessna는 활주로의 이륙 위치로가고 있었다. 그 순간 나는 Cherokee가 RWY17 Alpha지점에 진입하는 것을 보고 뒤쪽의 RWY28 방향의 Cessna로 시선을 돌렸다. 그 때 지상관제사가 Cherokee를 정지시키라고 외쳤다. 돌아보니 Cherokee가 반대방향으로 이륙을 시도하고 있었다. 활주로 진입후 좌선회하여 17L 방향으로 이륙해야 하는데, 35R방향으로 우선회한 것이다. Cherokee에게 17L는 반대방향이라고 알려주자 일단 활주로를 빠져나왔다. ","""Cherokee가 반대방향으로 이륙을 시도하고 있었다."", ""35R방향으로 우선회한 것이다""",,,,,,,
968,GYRO 147,,"시드니 국제공항 RWY 16R에 정상 착륙하여 배정받은 주기장소인 Bay 33으로 이동 중에 발생한 상황임. H igh-speed taxiway A4를 통하여 착륙 Runway 16R을 벗어나 Taxiway A를 이용하여 북쪽으로 taxi 하던 중, 우리는 Taxiway A를 이용하여 계속 북쪽으로 taxi하여 Runway 25를 통과할 것을 허가받았고, 이어서 Taxiway G로부터 항공기 한 대가 동쪽으로 towing되고 있었기 때문에 Taxiway G 직 전에 정지하여 대기할 것을 지시 받았음. towing 항공기는 Taxiway A에서 다시 북쪽으로 이동하였고, 우리는 Bay 33으로 진입할 것을 허가 받았음. Bay 33으로의 통상적인 짧은 taxi 동선이었던 Taxiway G를 통하여 서쪽으로 약간 이동한 후에 바로 우선회하여 INTL 4로 진입할 무렵 지상관제사가 우리가 INTL 3를 통하여 taxi 했어야 한다고 말하는 순간 'INTL 3, Bay 33' 라는 관제지시가 떠올랐고, 우리가 진입하려는 INTL 4는 잘못된 것임을 알게 되었음. 즉시 항공기를 멈추고 chart를 확인하려 흐]•자, 지상 관제사가 '현 위치에서 그냥 Bay 33로 진행하라'고 지시하였으며, 우리는 새로운 지시에 따라 INTL 4를 통하여 Bay 33로 진입하였음. INTL 3, INTL 4 의ramp taxiway에는 가로막는 항공기가 없었던 가운 데, 도착이 약 30분 지연된 조급한 상황에 더하여, INTL 3로 가는 Taxiway A에는 이미 towing 되는 항공기가 있었기 때문에 우리는 이미 수행했던 브리핑 대로 통상적인 짧은 동선이었던 INTL 4를 통한 진입을 염두에 두고 있었던 것으로 생각됨. 두 사람 모두 의심의 여지없이 Taxiway G를 통하여 INTL 4, Bay 33로 진입하면서도 관제지시를 옳게 따르고 있다고 믿었던 것에 놀라지 않을 수 없었음. 관제사도10여 시간의 밤샘비행으로 피로가 쌓인 조종사들이 잘못 이해하거나 실수할 수 있는 여지를 줄여주는 관제지시 (예를 들어 'Continue north via A, then INTL 3 to Bay33')를 했다면 Taxiway G로 진입하는 일은 없지 않았을 까?하는 아쉬움이 남는 사례였음.
주간 시정이 양호하여 시야가 확보된 상태였기 때문에 다른 항공기에게 방해가 되었다든지, tow-back을 해야하는 상황으로 전개되지는 않았겠지만, 혹여 야간이나 저시정 상황에서는 오늘보다 어려운 상황에 직면할 수도 있겠다는 생각이 들었음. 이 사례를 통하여 기장과 많은 토론을 하였으며, 차후 지상이동 시에는 잘 아는 공항이라도 관제지시를 신중하게 청취하고 반드시 chart를 꼼꼼히 확인하는 습관이 필요함을 다시 한 번 느끼게 되었음.","""도착이 약 30분 지연된 조급한 상황에 더하여"", ""INTL 3로 가는 Taxiway A에는 이미 towing 되는 항공기가 있었기 때문에"", ""10여 시간의 밤샘비행으로 피로가 쌓인 조종사들""",,,,,,,
776.00,GYRO 183,,"HAN/ICN 업무수행중 Ground로부터 ATC Clearance를 'HAKAO2C DEP Initial Climb FL250'로 받았고 우리는 MCP에 H/D108를 , 고도 25,000을 SET 하였다. 이륙 전 관제사로부터 'Line Up & Wait RWY 11L' 지시를 받고 RWY 진입 중 TWR 관제사가 'Clear for Take-off RWY 11L, After Take-off Right H/D150'을 지시하여 우리는 MCP에 H/D150로 SET 하였다. SID DEP와 다른 방향이라 이를 이상하게 생각해 부기장에게 다시 한번 H/D150 Confirm을 지시하여 부기장이 관제사에게 'Confirm After DEP H/D150?'라 물으니 TWR관제사는 'Affirm, Expedite Take-off'라 대답하였다. 이륙 후 400feet AGL에서 HDG SET한 다음 DEP Contact 'H/D150 Climb FL250'을 보고 하니 DEP관제사가 기상 때문에 H/D150로 한 것인지 물었고 우리는 TWR관제사로부터 Instruction을 이렇게 받았다고 보고했다. 잠시 후 다시 한번 DEP관제사가 TWR관제사로부터 H/D15이 nstruction을 받았는지 확인하여 이륙 전 'Confirm H/D150?'을 분명히 확인했고 TWR관제사가 Affirm했다고 대답하였다. 그런 후 DEP에서 'Direct HAKAO Climb FL150'을 지시하였다. ※ TWR관제사의 원래 의도는 After Take-off RWY H/D Climb FL150라는 것을 나중에 알았고 이를 우리는 RightH/D150로 잘못 알아 들었던 것이다. 조종사가 Confirm을 했음에도 관제사는 이를 수정해 주지 않고, 고도를 말할 때 숫자만 말해서 아마도 혼돈이 생긴 것 같다. 관제업무시 고도를 지시할때는 꼭 Flight Level 이나 Altitude를 붙여서 말하고, Conditional Instruction은 최대한 천천히 말해주었으면 한다. ","""조종사가 Confirm을 했음에도 관제사는 이를 수정해 주지 않고"", ""고도를 말할 때 숫자만 말해서 아마도 혼돈이 생긴 것 같다""",,,,,,,
400.00,GYRO 92호,이륙상승 중 SID TRACK 미준수,"프랑크푸르트 공항 이륙당시 WARBURG 2G SID 허가를 받았지만 FMS에 해당 SID가 없어서 4,000 피트까지 절차가 동일한 1Q SID를 입력했음. 이륙 후 400 피트를 지난 직후 autopilot을 설정했다. SID에 따라 활주로 방향으로 비행했지만, FFM VOR 5 DME,800 피트를 지나 279°로 선회하는 항공기를 찾아볼 수 없었음. (SID 내용). 나는 279°로 진행하기 위해 HDG을 설정했음. 그러나 바람방향이 좋지 않고 FFM VOR에 정대하기 위한 선회시점이 약간 빨랐던 탓에 R-259에 완벽하게 정대하지 못했음. 프랑크푸르트 관제기관으로부터 SID 위반에 대한 정식보고 또는 언급은 없었지만 비행내용이 만족스럽지 못했음. ","""바람방향이 좋지 않고"", ""선회시점이 약간 빨랐던 탓에 R-259에 완벽하게 정대하지 못했음""","-원인: LNAV로 SID 절차를 그대로 따를 수 있을 것으로 예상 

☞ 일반적인 이야기지만 SID 나 STAR 절차는 항공기의 성능과 안전, 그리고 지상의 장애물이나 소음 등의 제반 여건을 고려하여 수립한다. 따라서 SID 상승 시는 챠트에 설명된 절차 내용대로 조작을 하여야 하며, 또한 여러 가지 요인으로 인하여 계기가 순간적으로 잘못 지시하는 경우도 있을 수 있다는 것을 생각해야 할 것이다. ",,,-재발방지대책:프랑크푸르트 SID 수행 시 진행방향 수정 및 적절한 선회를 위해서는 pilot input 기능을 사용하여 HDG을 설정할 것,,,
619.00,GYRO 118호,W&B 변경으로 인한 지연운항,"승객탑승 완료 후 Boarding 전에 전달받은 Weight&Balance를 확인한 결과, 탑승객 5명이 탑승하지 않아 기존의 data와 성인 3명(272kg) 이상의 차이가 발생하여 W&B를 다시 받아야하는 상황이 발생하였음. 당시 우리 항공기는 SPOT 83에 주기 중이었고, 담당자(운송직원)가 수정 data를 다시 정리하여 출력오기 까지는 다소 시간이 필요하기 때문에 지연운항이 예상되는 상황이었음. 따라서 우리는 관련 규정 (중량배분 관리시스템 메뉴얼 2.1.6 항)에 의거 company에 contact하여 필요한 data를 받아 항공기에 입력하였음. 

※ 관련 규정:
중량배분 관리시스템 메뉴엘 기장은(PIC)은 잘못된 W&B data를 거부할 수 있으며, 이를 pushback 전에 수정하도록 요구할 수 있다. W&B 담당자는 필요 조치 후 W&B data를 문서 또는 시간적 여유가 부족할 때는 Company Radio로 전달할 수도 있다. ","""탑승객 5명이 탑승하지 않아 기존의 data와 성인 3명(272kg) 이상의 차이가 발생하여"", ""담당자(운송직원)가 수정 data를 다시 정리하여 출력오기 까지는 다소 시간이 필요하기 때문에""","☞ 비정상 상황 발생으로 인한 항공기 지연운항 사례를 분석해 보면 운송 담당자의 실수로 인한 사례가 가끔 있다. 그 대표 사례로는 전산망 에러로 인한 탑승수속 지연이라든지, 일부 승객의 다른 항공기에 오탑승, Boarding sign miss 등이다. 이러한 사소한 실수는 곧바로 지연운항으로 이어지고, 또한 연결편에도 영향을 미치게 되며, 기상이 좋지 않은 날에는 전체 Traffic 상황을 혼잡하게하는 원인이 될 수도 있다. ",,,,,,
986,GYRO 145,,"중국 Shenyang Control 관제공역 A588 항로 상 Waypoint NUBKI와 BIDIB 사이에서 고도 9,200m(30,100ft)로 6마일 우측으로 offset 순항비행 중 Radio 볼륨을 크게 유지하고 있었음에도 유난 히 조용하여 (ATC에서 어떤 항공기를 call하는 소리가 미미하게 들림) 기장(PM)이 수차례에 걸쳐Shenyang Control에 Radio Check을 하였으나 응답이 없어 Enroute chart로 동 공역 다른 주파수를 확인하던 중에 다른 항공사 소속 항공기가 비상주파수(121.5)로 우리에게 Shenyang Control 118.9에서 call하고 있다고 중계해주었음(당시 우리는 VHF1 은118.95, VHF2는 121.5, VHF3는 ACARS를 set하고 있었음). 이에 따라 118.9으로 Shenyang control에 contact하자 offset 거리를 3NM로 축소를 지시하여 수정하였음. 이후 비행계획서 및 enroute chart를 확인한 결과 VHF1에 기 set한 118.95는 HarbinControl의 주파수였음. 또한 알 수 없는 이유로 Active와 STBY가 바뀌어 있었고, 두 주파수가 유사하여 바뀐 상황을 인지하기도 어려웠으며 유사 주파수인 관계로 미세하게 호출이 들렸던 것으로 생각됨.

(보고자 의견)
당시 관숙을 위한 운항승무원이 추가 탑승(총 3명)하고 있었으며, 부기장과 관숙부기장의 대화 관계로 통신 집중에 장애가 될 수 있는 상황이었다. 따라서 Radio를 책임지는 PM 임무를 수행 중이던 나(기장)는 통신 miss를 우려하여 세심한 주 의를 기울이고 있었음에도 이와 같은 사례가 발생하였다. 이후 우리는 Active-STBY 주파수 transfer에 익숙하지 못한 승무원으로 인한 통신문제 발생에대하여 과거 유사사례 등을 포함 Review하였으며, 이 사례가 다른 조종사들의 업무수행에도움이 될 수있도록 이 보고서를 제출한다. ","""Active와 STBY가 바뀌어 있었고"", ""두 주파수가 유사하여 바뀐 상황을 인지하기도 어려웠으며"", ""통신 집중에 장애가 될 수 있는 상황이었다."", ""Active-STBY 주파수 transfer에 익숙하지 못한 승무원으로 인한 통신문제 발생""",,,,,,,
272.00,GYRO 80호,ILS 접근중 # 1 ENG. Out Single Engine으로 정상 착륙,"부조종사 학생훈련으로 PUS 이륙 후 GMP ILS 32L APP 중 7NM 지점(고도 1800FT,140 IAS)에서 L/D configuration으로 착륙을 위해 Auto Flight에서 Manual로 전환한 후 (2,000FT에서 전환) Electric power interuption 시 일어나는 PFD, ND 및 Cockpit L' T가 Off-On 되면서 Engine #1 Fail ECAM Message가 On 되었음. 계기를 확인한 결과 No.1 Engine 계기는 전부 xx 지시하고 N1 만 6% 지시하였으며, No.2 Engine 계기는 정상이었음.
절차에 따라 No.1 TH-LEVER IDLE 하고 30 초 후 Relight 되지 않아 No.1 Engine Master S/W-off 하고 APU를 Start하면서 Single Engine으로 정상착륙하였음. 고도가 낮고 비행거리가 짧아 ATC 및 Company에 연락할 여유가 없었으며 착륙 후 Taxiin하면서 Company에 상기 상황을 Radio로 연락하였음. Taxi 시간이 짧아 Tower에 연락할 여유가 없었으며 상기 ECAM 절차 수행 후 추가적인 Failure가 없었고 이미 착륙한 상태라서 Emergency Declare 나 PAX PA 등을 실시하지 않았음. Engine Fail 시 소음, Vib, 기타 징후는 느껴지지 않았으며 조종상의 애로점은 없었음. ","""Electric power interuption 시 일어나는 PFD, ND 및 Cockpit L' T가 Off-On 되면서"", ""Engine #1 Fail ECAM Message가 On 되었음"", ""No.1 Engine 계기는 전부 xx 지시하고 N1 만 6% 지시하였으며""",☞ 착륙이 확실시 되는 상황에서는 안전하게 착륙할 수 있도록 주의집중을 해야 할것이다. 비록 Engine 이 Failure 되었다고 하더라도 재 시동에 여유가 없다면 failure 된 상태에서 안전하게 착륙할 수 있도록 해야 할 것이다.,,,,,,
"1,101.00",GYRO 134,[윈드쉴드 균열로 인한 회항],"외국항공사 소속 B7x7 항공기가 국내공항으로 운항을 위해 일본 000공항을 이륙하여 상승 중 조종석 창문에 균열이 발생하여 출발 공항으로 회항 후 일부 승객은 다른 항공사편으로 연계 수송하고, 나머지 승객은 정비 후 약 7시간 지연 운항하였음.","""조종석 창문에 균열이 발생하여""",,,,,,,
